,Achnanthidium,Amphora,Aulacoseira,Brachysira,Caloneis,Cavinula,Cocconeis,Craticula,Cyclotella,Cyclostephanos,Cymbella,Cymbopluera,Denticula,Diatoma,Diploneis,Discostella,Encyonema,Encyonopsis,Eolimna,Eucocconeis,Eunotia,Epithemia,Fragilaria,Frustulia,Gomphonema,Hannaea,Kobayasiella,Luticola,Melosira,Navicula,Neidiume,Nitzschia,Nupela,Odontidium,Planothidium,Pinnularia,Psammothidium,Pseudostaurosira,Rhoicosphenia,Rhopalodia,Rossithidium,Sellaphora,Stauroneis,Staurosira,Staurosirella,Stenopterobia,Stephanodiscus,Surirella,Tabellaria,Tetracyclus,Ulnaria,
CJ-001-F,120,0,0,5,0,0,1,0,0,0,5,0,0,16,0,123,1,1,0,0,1,0,11,0,5,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,14,0,23,
CJ-003-F,17,0,0,4,0,0,0,0,0,0,0,3,0,1,0,353,0,1,0,0,5,0,0,0,0,0,0,0,1,14,0,4,0,0,0,0,0,6,0,0,0,1,0,0,11,0,0,0,14,0,0,
CJ-020-F,76,0,35,3,0,0,0,0,0,0,0,0,0,0,0,114,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0,0,0,0,0,107,0,0,0,1,0,1,35,0,0,0,1,0,0,
CJ-023-F,10,2,24,2,0,0,0,0,0,0,0,0,1,0,0,161,0,4,0,1,2,0,5,0,2,0,0,0,0,8,0,10,0,0,0,2,0,0,0,0,0,1,0,0,27,0,0,0,50,0,3,
CJ-032-F,12,0,127,0,0,1,3,0,0,0,0,0,0,0,1,108,0,1,5,0,0,1,1,0,0,0,0,0,0,6,0,8,0,0,0,0,0,71,0,0,0,1,0,0,51,0,0,0,0,0,1,
CJ-039-F,12,0,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,4,2,0,3,0,0,0,0,10,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,
CJ-043-F,29,0,6,7,0,0,1,0,0,0,0,0,0,1,1,99,7,5,0,0,2,5,74,2,2,0,0,0,0,28,0,8,1,0,1,4,0,6,0,4,0,2,0,5,1,0,0,0,5,0,6,
CJ-051-F,9,1,71,5,0,0,2,0,0,0,0,0,0,0,0,305,1,5,0,1,0,3,4,0,0,0,1,0,0,10,0,5,0,0,0,0,1,20,0,2,0,2,0,0,7,0,0,0,10,1,2,
CJ-097-F,31,0,46,17,0,4,0,1,0,0,0,2,0,0,0,4,6,7,0,0,1,0,3,16,2,0,0,0,0,60,1,95,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,27,0,0,
CJ-121-F,81,2,12,5,1,1,6,1,2,0,1,0,1,2,1,26,1,3,0,0,2,2,8,1,5,0,0,0,0,27,1,7,0,0,1,4,1,30,0,0,0,1,0,0,32,0,0,0,42,0,11,
CJ-001-J,120,0,0,15,0,0,2,0,0,0,2,0,0,13,0,194,3,4,0,0,0,0,5,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,16,0,25,
CJ-003-J,23,0,11,2,0,0,0,0,0,0,0,0,3,2,0,301,1,3,0,0,8,0,2,0,1,0,0,0,0,10,0,2,0,0,0,0,3,17,0,0,0,3,0,1,16,0,0,0,16,0,1,
CJ-020-J,250,0,22,12,0,2,0,0,0,0,0,0,0,0,0,145,0,2,0,0,4,0,0,0,0,0,0,0,0,2,0,36,0,0,0,0,5,110,0,0,0,0,0,0,29,0,0,0,0,0,0,
CJ-023-J,16,0,240,3,0,2,0,0,0,0,0,0,0,0,1,13,2,4,0,0,2,0,2,0,2,0,0,0,0,8,0,1,1,0,0,2,3,1,0,0,0,0,0,0,5,0,0,1,15,0,1,
CJ-032-J,17,0,123,0,0,0,7,0,0,0,0,0,0,0,1,38,0,8,4,0,0,0,1,0,0,0,0,0,0,19,0,18,0,1,1,0,1,117,0,2,0,0,0,0,19,0,0,0,0,0,1,
CJ-039-J,18,0,31,0,1,0,0,0,0,0,0,0,0,0,0,7,1,3,0,0,0,1,2,0,3,0,0,0,0,17,1,21,0,0,0,0,0,3,0,0,0,3,0,0,2,0,0,0,8,0,0,
CJ-043-J,29,0,10,15,7,0,0,0,0,1,0,0,1,6,0,108,8,6,0,4,0,0,33,1,6,1,0,0,0,28,0,6,0,0,1,0,0,20,0,0,0,1,0,6,2,1,0,0,22,0,11,
CJ-051-J,24,0,28,6,0,1,1,0,0,0,0,0,0,0,0,201,0,6,0,0,1,2,2,0,1,1,0,0,0,7,1,3,0,0,0,0,4,24,0,0,2,1,0,0,2,0,0,0,9,0,3,
CJ-097-J,30,0,65,13,0,4,0,0,0,0,1,5,0,0,0,3,8,9,0,0,0,0,0,10,3,0,3,0,0,67,2,70,2,0,0,4,0,0,0,0,0,3,1,0,0,0,0,0,32,0,0,
CJ-121-J,105,0,5,4,0,2,3,0,1,0,0,0,1,4,0,9,2,11,0,0,2,0,12,1,6,2,0,0,0,21,0,6,0,0,1,0,5,32,0,0,2,0,0,0,31,1,0,0,50,0,9,
CJ-001-A,126,0,0,12,0,0,3,0,1,0,2,0,0,29,0,176,8,6,0,5,0,0,2,0,3,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,8,0,28,
CJ-003-S,35,0,1,4,0,0,1,0,0,0,1,0,0,0,0,382,4,12,0,0,0,2,1,0,2,0,0,0,0,11,0,6,0,0,0,0,5,22,0,0,0,0,0,3,41,0,0,0,7,0,2,
CJ-020-S,59,0,28,1,0,2,1,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,2,0,0,0,0,17,0,64,0,0,0,2,2,178,0,0,0,1,0,0,23,0,0,0,0,0,1,
CJ-023-S,49,1,33,11,0,2,0,0,0,0,0,0,0,0,0,27,6,19,0,0,0,0,2,0,4,0,5,0,0,50,0,7,1,0,0,5,2,0,0,0,5,1,0,0,75,0,0,0,33,0,3,
CJ-032-S,16,0,115,0,0,1,3,0,0,0,0,0,0,0,0,84,2,0,6,1,0,0,4,0,0,0,0,0,0,9,0,44,0,0,1,0,4,214,0,0,0,0,0,0,34,0,0,0,0,0,1,
CJ-039-S,29,0,182,3,0,0,1,0,0,0,0,0,0,0,0,9,0,6,0,0,4,5,9,0,0,0,0,0,0,19,2,19,0,0,0,2,0,19,0,0,0,2,0,1,6,0,3,0,8,0,0,
CJ-043-S,46,0,9,14,5,2,0,0,0,0,1,0,0,4,0,85,4,7,0,13,0,5,20,0,2,5,0,0,4,24,0,4,0,0,0,2,1,28,5,4,0,1,0,0,14,1,0,0,15,0,8,
CJ-051-S,31,0,59,5,0,1,1,0,0,0,1,0,0,0,0,142,6,6,0,0,0,0,4,0,8,0,0,0,0,11,0,7,0,1,2,1,1,0,0,2,2,0,0,0,34,0,0,0,11,0,1,
CJ-097-S,48,0,38,14,0,4,0,0,0,0,0,3,0,0,0,3,2,13,0,1,0,0,4,14,6,0,9,0,0,63,0,80,0,0,0,2,0,0,0,0,0,1,0,0,4,1,0,0,30,0,0,
