,Achnanthes,Achnanthidium,Adlafia,Amphora,Aulacoseira,Brachysira,Caloneis,Cavinula,Chamaepinnularia,Cocconeis,Craticula,Cyclotella,Cyclostephanos,Cymbella,Cymbopleura,Denticula,Diadesmis ,Diatoma,Diploneis,Discostella,Encyonema,Encyonopsis,Eolimna,Epithemia,Eucocconeis ,Eunotia,Fragilaria,Frustulia,Gomphonema,Hannaea,Kobayasiella,Luticola,Melosira,Navicula,Neidium,Nitzschia,Nupela,Oodontidium,Planothidium,Pinnularia,Psammothidium,Pseudostaurosira,Reimeria,Rhoicosphenia,Rhopalodia,Rossithidium,Sellaphora,Stauroneis,Staurosira,Staurosirella,Stenopterobia,Stephanodiscus,Surirella,Tabellaria,Tetracyclus,Ulnaria
CJ-001,0,450,0,0,0,45,0,0,0,7,0,1,0,9,0,0,0,75,0,712,16,13,0,0,6,2,18,0,10,0,0,1,0,22,0,1,0,0,0,1,1,0,0,0,0,1,0,0,6,10,0,0,0,53,0,89
CJ-003,0,87,0,0,15,10,0,0,0,1,0,0,0,1,3,3,0,3,0,1609,7,17,0,2,0,13,5,0,3,1,0,0,1,38,0,16,0,0,0,0,8,47,0,0,0,0,4,0,4,84,0,0,0,46,0,3
CJ-006,0,135,0,0,116,4,0,18,0,0,1,0,0,0,1,0,0,0,1,62,1,10,1,0,1,2,0,3,0,0,0,0,0,65,2,131,0,0,0,2,5,2,0,0,0,0,8,1,0,1,0,0,1,11,0,0
CJ-007,0,16,1,0,336,1,0,2,1,1,0,1,0,0,0,0,2,0,8,24,1,1,0,0,2,2,1,3,4,1,0,1,0,6,0,7,0,0,0,4,0,0,0,0,0,0,5,1,7,7,0,0,1,9,0,0
CJ-009,0,13,0,0,370,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,11,0,0,0,0,1,1,2,0,0,0,0,14,0,1,0,0,0,2,2,0,0,0,0,0,5,1,0,0,0,0,0,6,0,0
CJ-020,0,616,0,0,93,27,0,4,0,1,0,0,0,0,0,0,0,0,0,517,0,4,0,0,0,5,2,0,2,1,0,0,0,30,0,142,0,0,0,3,9,423,0,0,0,0,2,0,2,91,0,0,0,3,0,1
CJ-021,2,44,0,6,0,17,5,1,2,3,0,0,0,1,0,0,0,0,0,4,6,80,0,16,3,1,12,0,5,0,0,0,0,245,7,66,0,0,0,1,1,1,0,0,0,0,41,0,0,0,0,0,0,3,0,1
CJ-023,0,97,0,3,439,26,0,7,0,1,0,0,0,1,0,1,0,0,1,266,8,32,0,0,1,8,15,0,9,1,5,0,0,86,0,23,4,0,0,11,8,3,0,5,0,10,3,0,0,123,0,0,1,134,0,8
CJ-024,0,109,0,0,458,0,0,2,0,14,0,0,0,0,0,0,0,0,2,295,2,14,17,1,1,0,7,0,0,0,0,0,0,43,0,78,0,1,2,0,5,465,0,0,2,0,1,0,0,115,0,0,0,0,0,3
CJ-032,0,31,0,0,211,17,0,0,0,1,0,0,0,0,2,0,0,0,0,63,5,22,1,0,1,1,2,11,1,0,0,0,0,87,0,37,0,0,0,2,0,0,0,0,0,0,5,0,0,0,1,0,0,80,0,2
CJ-039,0,102,0,0,388,10,2,0,0,1,0,0,0,0,1,0,0,0,0,30,3,21,0,11,0,4,20,1,9,0,0,0,0,69,4,66,0,0,0,4,0,24,0,0,0,1,6,0,2,19,1,3,0,55,0,1
CJ-043,0,130,0,0,26,41,15,2,0,1,0,0,1,2,0,1,0,27,1,397,21,22,0,15,22,4,237,3,12,13,0,0,4,90,0,22,1,0,2,6,1,65,0,5,8,0,4,0,11,21,3,0,0,46,0,27
CJ-051,0,90,0,1,188,27,0,3,0,4,0,0,0,2,0,0,0,0,0,819,8,22,0,7,1,1,10,0,11,1,2,0,0,38,1,19,0,1,3,2,9,49,0,0,4,8,3,0,0,58,0,0,0,40,1,7
CJ-097,0,130,0,0,217,53,0,13,0,0,1,0,0,1,10,0,0,0,1,26,23,42,0,1,1,3,8,47,17,0,15,0,0,231,4,318,3,0,0,12,1,0,0,0,0,0,8,3,0,5,2,0,0,112,0,0
CJ-121,0,342,0,2,26,22,2,8,0,12,1,4,0,5,2,3,0,12,2,100,6,29,0,4,0,7,32,4,20,4,3,0,1,95,2,21,0,0,2,7,18,226,0,0,0,4,6,0,1,154,1,0,0,152,0,37
