,Achnanthidium affine,Achnanthidium minutissimum,Amphora copulata,Aulacoseira alpigena,Aulacoseira distans septentrionalis,Aulacoseira granulata,"Aulacoseira sp 1 tiny, fine striae",Aulacoseira sp 2,Brachysira brebissonii,Brachysira microcephala,Brachysira neoexilis,Brachysira cf. styriaca,Caloneis sp. 1 Luspa (alpestris?),Cavinula pseudoscutiformis,Cavinula lapidosa,Cocconeis neothumensis?,Cocconeis placentula,Craticula molesta,Cyclotella meneghiniana,Cyclostephanos dubius,Cymbella neocistula,Cymbella sp 1,Cymbopleura inca,Denticula ?? Atucyacu,Diatoma tenuis,Diploneis sp. 1,Diploneis sp. 2 (smaller one),Discostella stelligera,Encyonema neogracile,Encyonema jemtlandicum,Encyonema minutum,Encyonema sp 1,Encyonema cf tempereri,Encyonopsis angustecapitatum,Encyonopsis subminuta,Encyonopsis krammeroides,Encyonopsis Atucyacu 1,Encyonopsis cf recta,Eolimna minima,Eucocconeis flexella,Eunotia andinofrequens,Eunotia cf arcus,Eunotia flexuosa,Eunotia cf incisa,"Eunotia sp 1 Luspa (skinny, fine striae)",Epithemia alpestris,Epithemia turgida,Fragilaria capucina,Fragiliaria gracilis,Fragilaria tenera,Frustulia crassinervia,Frustulia rhomboides,Gomphonema cf. auritum,Gomphonema cf. gracile,Gomphonema cf. netriviale,Gomphonema parvulum,Gomphonema truncatum,Gomphonema variostriatum,Hannaea arcus,Kobayasiella pseudosubtilissima,Luticola sp,Melosira varians,Navicula angusta,Navicula cryptocephala,Navicula notha,Navicula radiosa,Navicula radiosa var. parva,Navicula viridulacalcis,Neidium bisulcatum,Nitzschia amphibia,Nitzschia Atucyacu 1,Nitzschia neotropica?,Nitzschia cf oberheimiana,Nitzschia recta,Nitzschia semirobusta,Nitzschia skinnt long round ends,Nitzschia skinny pointy ends,Nupela sp 1. ,Odontidium mesodon,Planothidoum cf. rostratum,Planothidium sp 1 ,Pinnularia borealis,Pinnularia cf. brebissonii,Pinnularia gibba,Pinnularia cf. gigaformis Luspa,Pinnularia microstauron,Pinnularia subgibba,Pinnularia cf. viridis,Pinnularia huge,Psammothidium,Pseudostaurosira brevistriata,Pseudostaurosira heidenii,Pseudostaurosira laucensis,Pseudostaurosira santaremensis,Rhoicosphenia abbreviata,Rhopalodia gibba,Rossithidium pusillum,Sellaphora cf. digna,Sellaphora fusticulus (large),Sellaphora laevissima,Sellaphora pupula,Stauroneis gracilior,Stauroneis subgracilis,Staurosira sp 1,Staurosirella leptostauron,Staurosirella pinnata,Staurosirella sp 1,Staurosirella sp 2,Staurosirella sp 3,Stenopterobia delicatissima,Stenopterobia densestriata,Stephanodiscus sp. Larga,Surirella,Tabellaria fenestrata,Tabellaria flocculosa,Tetracyclus sp. 1 SUN,Ulnaria delicatissima,
CJ-001-F,17,103,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,5,0,0,0,16,0,0,123,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,1,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,23,
CJ-003-F,0,17,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,353,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,7,3,1,0,0,0,0,0,2,12,0,0,
CJ-020-F,2,74,0,35,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,20,83,0,0,0,0,0,1,0,0,0,1,0,32,3,0,0,0,0,0,0,0,1,0,0,
CJ-023-F,4,6,2,13,4,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,161,0,0,0,0,0,0,0,0,3,1,0,1,0,0,2,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,4,6,2,0,0,0,0,3,47,0,3,
CJ-032-F,4,8,0,49,77,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,108,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,19,0,0,0,0,0,1,0,0,0,0,0,38,13,0,0,0,0,0,0,0,0,0,1,
CJ-039-F,0,12,0,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,8,0,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,12,0,0,
CJ-043-F,0,29,0,0,0,0,6,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,99,0,4,0,3,0,0,2,3,0,0,0,0,1,0,0,1,0,0,5,0,0,74,2,0,0,0,1,0,0,1,0,0,0,0,0,0,11,16,0,1,0,2,0,0,4,0,0,2,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,6,0,4,0,0,0,1,1,0,0,5,0,0,0,1,0,0,0,0,0,0,5,0,6,
CJ-051-F,0,9,1,22,49,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,305,0,1,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,4,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,16,2,0,2,0,0,1,0,1,0,0,0,0,2,4,0,1,0,0,0,0,0,10,1,2,
CJ-097-F,4,27,0,46,0,0,0,0,4,13,0,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,4,6,0,0,0,0,1,0,4,2,0,0,0,0,0,0,1,0,0,0,2,0,1,16,0,1,0,0,0,0,1,0,0,0,0,1,0,31,28,0,0,1,0,57,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,16,11,0,0,
CJ-121-F,16,65,2,8,0,0,4,0,0,5,0,0,1,0,1,3,3,1,2,0,0,1,0,1,2,1,0,26,0,0,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,1,1,4,0,4,0,1,0,0,1,1,0,3,0,0,0,0,0,1,13,13,0,0,1,0,0,0,5,0,0,0,2,0,0,0,1,0,0,1,0,2,0,0,1,1,4,0,26,0,0,0,0,0,1,0,0,0,0,0,1,7,0,23,1,0,0,0,0,3,39,0,11,
