lago;Color;Conduc;Fe;SIO2;Alcal;DOC;Dureza Ca;Na
1;34;111,6;148,4;4214,7;60;3,8;46;1314,5
2;21;96,2;65,5;9297,9;64;5,7;38;1795,2
3;27;37,7;56,8;3725,3;16;6,1;14;879,8
4;13;23,4;30,4;5111,4;44;3,2;10;417,7
5;44;55,7;479,4;6102,1;52;4,2;20;1789,7
6;41;110,4;292,7;7974,2;50,54;6,6;47,06;1826
7;25;91,5;88,6;9001,3;48;5,5;36;1576,3
8;8;73,3;45,7;6800,5;16;2,1;28;1425,6
9;10;57,5;39,9;5845,6;22;3,2;28;1046,7
10;20;59,7;10;8090,6;40;2,9;22;1549
11;37;65,6;106,2;10804;48;3,3;24;2431
12;21;63,6;39,4;4301,8;32;3,9;32,26;665,7
13;22;75;30,3;7429,3;32;2,4;26;1578,5
14;16;75,2;60,7;8563,6;48;2,3;28;2038,3
15;20;27,8;58,4;6567,7;13,45;2,3;11,76;1472,9
16;31;30,3;91,7;3520,5;20;5,6;8;892,3
17;23;72,6;162,9;1068,7;36;6;30;700,5
18;62;89,6;66;4999,9;44;2,1;50,4;705
19;25;45,3;42,1;5421,6;20;2,4;18;937,2
20;25;62,3;25,5;5073,7;28;2,9;30,24;1015,1
21;20;64,8;31,1;5278,4;26;0,5;22,18;1355,2
22;34;30,4;107,4;6297;9,54;2,5;11,76;1287
23;12;18,7;10;2402,7;7,45;5,7;9,8;466,1
24;38;9,48;20,6;1685,2;3,22;3,3;4,03;336,2
25;20;56,9;28,1;4184,2;25,94;12,3;25,49;794
