Ankistrodesmus sp.;Amphora sp.;Botryococcus sp.;Chlamydomonas sp.;Closterium sp.;Cosmarium sp.;Crucigenia sp.;Cryptomonas sp.;Cyanobacterie sp.;Cyclotella sp.;Dictyosphaerium sp.;Dinobryon sp.;Encyonema sp.;Fragilaria sp.;Gymnodinium sp.;Kephyrion sp.;Lagerheimia sp.;Mallomonas sp.;Merismopedia sp.;Monoraphidium sp.;Navicula sp.;Nitzschia sp.;Oocystis sp.;Peridinium sp.;Planktosphaeria sp.;Scenedesmus sp.;Sellaphora sp.;Sphaerocystis sp.;Spirulina sp.;Staurastrum sp.;Staurodesmus sp.;Stauroneis sp.;Synedra sp.;Tabellaria sp.;Volvox sp.;Westella sp.
0;0;0;536;0;0;0;1785;0;23925;0;0;0;179;536;179;0;0;0;2143;1250;0;893;0;0;0;0;0;0;0;0;0;4285;0;0;0
0;0;0;5634;0;0;0;0;0;69223;1207;0;0;0;402;402;0;0;0;402;1610;0;805;0;0;402;0;0;0;0;0;0;402;0;0;0
0;0;2276;0;0;0;14470;1626;0;813;0;975;0;0;325;0;0;0;4552;5690;650;0;0;0;0;0;0;0;0;0;813;0;325;0;0;0
0;0;0;0;0;72;86;43;0;29;86;201;0;14;0;0;0;57;531;316;43;0;344;0;0;0;0;0;0;0;29;0;14;0;0;0
0;0;0;0;11;0;0;0;0;294;0;0;0;23;45;0;0;11;0;11;113;0;11;0;0;11;0;0;0;0;0;0;34;0;0;0
0;0;0;0;0;158;0;0;0;105;0;0;893;158;840;0;0;0;53;158;4254;0;210;0;0;368;525;0;0;420;105;0;2048;210;0;0
0;0;0;0;0;121;0;1030;0;7395;303;242;121;61;364;0;0;121;0;61;970;0;182;61;0;121;0;0;0;121;61;0;606;61;0;121
0;120;0;0;0;0;0;0;0;1022;0;0;100;180;20;0;0;0;160;140;1483;40;100;0;0;0;80;0;0;0;0;0;461;0;0;100
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;117;0;1031;0;0;0;0;0;0;0;0;0;19;0;0;758
0;0;48;0;19;0;0;19;0;124;172;86;10;0;29;0;0;0;0;48;95;0;629;10;0;0;0;0;0;0;86;0;29;19;0;381
0;0;0;0;0;52;0;0;0;6703;52;208;0;0;0;0;0;0;0;312;312;0;468;572;0;104;0;0;52;1351;52;0;156;0;0;0
0;0;0;0;0;0;0;0;0;16498;0;687;0;98;0;0;0;0;0;589;491;0;98;0;0;0;98;0;0;0;0;0;393;0;0;687
0;142;0;0;0;0;142;0;0;569;0;569;0;0;0;0;0;0;0;0;854;0;25617;0;0;0;0;0;0;0;285;0;0;0;0;285
0;0;0;0;0;714;179;0;0;2321;0;0;0;0;0;0;13569;0;179;0;1071;0;15355;1785;0;179;0;0;0;0;357;0;0;0;0;0
0;0;0;144;0;404;549;87;173;433;0;491;0;0;231;0;29;0;0;202;664;0;838;231;0;87;0;0;0;29;173;0;202;491;0;318
0;0;0;0;0;0;731;0;209;209;0;12432;104;0;0;0;0;0;0;2089;1776;0;2612;0;0;0;0;0;0;0;104;0;209;104;0;209
0;0;0;52;0;52;0;26;0;2383;0;0;288;0;52;0;0;79;0;288;864;0;183;0;0;26;0;0;0;0;0;0;288;0;0;655
0;0;0;0;0;0;0;90;45;2523;0;135;405;45;45;270;45;0;45;315;1847;0;496;0;0;90;180;0;0;0;0;90;541;811;0;45
0;0;33;0;0;0;65;65;0;753;229;1702;33;0;360;262;0;393;0;589;851;0;131;65;0;0;0;0;0;0;0;33;131;687;33;131
0;0;0;0;0;0;0;385;64;4750;0;1219;0;0;257;0;0;321;0;770;128;0;4364;128;0;128;0;0;0;0;64;0;128;0;0;128
45;0;0;0;0;0;136;136;136;3728;136;318;0;136;182;0;0;45;0;182;773;0;2137;0;0;136;0;0;0;0;45;0;818;0;0;0
0;0;0;0;0;3695;3500;0;0;97;0;1750;0;194;194;0;0;0;0;3111;1361;0;4764;194;0;0;0;194;0;97;0;0;194;97;0;0
0;0;0;0;0;68;0;34;34;0;2133;2370;34;0;813;0;0;372;0;474;135;0;102;0;0;34;0;0;0;0;102;0;0;34;0;34
0;0;0;0;0;49;25;0;0;0;814;592;0;0;49;0;0;0;0;592;0;0;1110;0;740;49;0;0;0;0;74;0;99;49;0;370
0;0;0;0;0;0;0;347;58;4794;0;116;0;289;404;0;0;173;0;578;173;0;404;0;58;3524;0;289;0;0;0;0;231;116;0;0
