lago;Area;Perimetro;Volumen;Prof max;Prof med;Area cuenca
1;188866,82;2360,77;1615852,807;16,48;8,556;47704491
2;193217,01;4048,2;2185529,507;29,235;11,311;5262586,2
3;27457,3;1064,33;108895,342;11,306;3,966;246972,74
4;80246,75;2228,51;680145,032;22,438;8,476;481501,32
5;49869,42;1596,6;132464,823;7,97;2,656;1498879,5
6;64093,89;1288,99;12818,778;0,7;0,2;3238987,89
7;59897,42;1473,73;345928,124;17,76;5,775;14415951,58
8;95403;1809,15;549699,765;10,651;5,762;2497309,19
9;122108,61;1695,55;2440701,787;41,868;19,988;1460781
10;234688,8;3601,99;4114347,992;47,692;17,531;3523085,25
11;106232,41;1615,96;1159517,082;22,184;10,915;5213193,93
12;60416,59;1878,62;322179,706;17,196;5,333;1586042,48
13;138287,9;2192,2;1723959,717;29,462;12,466;2397530,5
14;219815,97;2743,27;2018817,569;25,685;9,184;4579173
15;56933,84;1401,01;294371,444;14,08;5,17;604151,79
16;101188,58;1442,4;462538,625;13,736;4,571;1019037,79
17;13687,16;715,55;37067,327;9,499;2,708;39635,54
18;104334,69;2309,67;360670,986;13,563;3,457;3865111,49
19;113430,53;1995,03;1880170,891;34,054;16,576;4478096,57
20;403522,42;5228,51;8013225,819;60,992;19,858;10440309,66
21;32012,12;1041,37;23496,794;2,51;0,734;13998246,83
22;342569,48;3974,64;1162364,259;8,526;3,393;5853328,89
23;101207,15;1923,65;2049459,387;46,034;20,25;553205,4
24;464645,95;3972,36;9895338,48;54,821;21,297;1304078,64
25;193848,7;2502,56;5933904,64;62,971;30,611;2638442,98
