,Longitude,Latitude
CJ-001-J,-79.14614885,-2.843217869
CJ-003-J,-79.22392886,-2.779408621
CJ-020-J,-79.33727717,-2.838030286
CJ-023-J,-79.3034024,-2.840757071
CJ-024-J,-79.34214059,-2.852226236
CJ-039-J,-79.24447293,-2.794839467
CJ-043-J,-79.26266942,-2.804831978
CJ-051-J,-79.28528619,-2.830466346
CJ-097-J,-79.29205442,-2.911845838
CJ-121-J,-79.16023837,-2.770150619
CJ-001-A,-79.14614885,-2.843217869
CJ-003-S,-79.22392886,-2.779408621
CJ-020-S,-79.33727717,-2.838030286
CJ-023-S,-79.3034024,-2.840757071
CJ-024-S,-79.34214059,-2.852226236
CJ-039-S,-79.24447293,-2.794839467
CJ-043-S,-79.26266942,-2.804831978
CJ-051-S,-79.28528619,-2.830466346
CJ-097-S,-79.29205442,-2.911845838
CJ-121-S,-79.16023837,-2.770150619
CJ-001-D,-79.14614885,-2.843217869
CJ-003-D,-79.22392886,-2.779408621
CJ-020-D,-79.33727717,-2.838030286
CJ-023-D,-79.3034024,-2.840757071
CJ-024-D,-79.34214059,-2.852226236
CJ-039-D,-79.24447293,-2.794839467
CJ-043-D,-79.26266942,-2.804831978
CJ-051-D,-79.28528619,-2.830466346
CJ-097-D,-79.29205442,-2.911845838
CJ-121-D,-79.16023837,-2.770150619
CJ-001-F,-79.14614885,-2.843217869
CJ-003-F,-79.22392886,-2.779408621
CJ-020-F,-79.33727717,-2.838030286
CJ-023-F,-79.3034024,-2.840757071
CJ-024-F,-79.34214059,-2.852226236
CJ-039-F,-79.24447293,-2.794839467
CJ-043-F,-79.26266942,-2.804831978
CJ-051-F,-79.28528619,-2.830466346
CJ-097-F,-79.29205442,-2.911845838
CJ-121-F,-79.16023837,-2.770150619
