;ChlA_a;Ca;Mg;Na;K;Alkalinity;Cl;SO4;Si;Hg;Fe;Mn;Color;Turbidity;pH;Cond;DO;waterT;month;lake;rock_type
CJ-001-MR;0,4;772,200;160,593;43,708;7,012;820,800;73,239;18,125;92,471;2,388;2,072;0,200;47,000;2,730;7,490;91,400;6,790;11,818;march;Llaviucu;andesite
CJ-001-A;0,8;853,400;120,494;142,570;9,694;993,600;29,296;12,500;83,424;2,292;1,745;0,180;33,000;1,990;8,360;89,500;6,300;11,937;april;Llaviucu;andesite
CJ-001-MY;1,6;853,400;80,395;54,474;35,313;1123,200;58,592;10,417;87,575;1,774;1,326;0,378;15,000;0,730;8,060;102,500;6,380;12,303;may;Llaviucu;andesite
CJ-001-J;1,14;934,800;280,889;48,496;2,564;1080,000;0,000;18,750;90,787;2,458;2,866;0,670;35,000;0,843;7,940;94,600;6,630;11,413;june;Llaviucu;andesite
CJ-001-JU;0,74;934,800;80,198;72,552;2,564;993,600;14,366;29,167;88,124;2,843;1,529;0,392;23,000;1,200;8,410;95,600;7,220;10,340;july;Llaviucu;andesite
CJ-001-AU;1,67;884,400;79,407;46,783;23,568;993,600;0,000;29,167;43,905;1,523;1,664;0,339;29,000;0,839;7,790;94,800;7,820;10,284;august;Llaviucu;andesite
CJ-001-S;1;884,400;198,519;49,548;2,564;1080,000;0,000;35,417;87,928;2,276;1,477;0,230;41,000;0,752;8,010;98,000;7,140;9,906;september;Llaviucu;andesite
CJ-001-O;1,34;924,600;158,815;135,300;11,857;981,000;0,000;11,667;50,812;2,570;1,460;0,201;27,000;1,040;8,380;103,600;6,950;11,453;october;Llaviucu;andesite
CJ-001-N;0,94;723,600;317,630;51,270;6,075;899,200;0,000;32,500;85,688;0,556;1,141;0,123;23,000;0,463;7,730;99,200;6,710;11,614;november;Llaviucu;andesite
CJ-001-D;0,13;1045,200;158,815;57,104;5,438;1103,600;58,592;4,167;63,057;0,556;1,292;1,002;17,000;0,730;8,090;109,900;6,610;12,329;december;Llaviucu;andesite
CJ-001-JA;1,14;1326,600;79,407;42,278;5,483;899,200;29,296;36,875;76,139;0,556;0,994;0,145;25,000;1,140;7,900;103,000;7,510;14,000;january;Llaviucu;andesite
CJ-001-F;0,74;960,000;118,519;297,826;48,456;1062,600;0,000;27,083;85,147;1,785;11,406;0,046;20,000;1,130;7,980;92,700;5,670;11,270;february;Llaviucu;andesite
CJ-003-MR;0,53;731,600;40,099;56,052;9,085;864,000;73,239;3,958;117,107;0,556;1,875;0,352;32,000;3,060;6,950;85,200;6,430;12,500;march;Toreadora;rhyolite
CJ-003-A;0,89;447,000;80,395;65,330;1,944;604,800;29,296;12,500;6,838;0,556;1,728;0,046;65,000;2,210;9,390;73,800;5,920;11,016;april;Toreadora;rhyolite
CJ-003-MY;0,87;650,200;40,099;73,509;16,303;950,400;58,592;10,417;117,498;0,556;2,112;0,347;27,000;0,760;8,050;80,200;6,330;11,118;may;Toreadora;rhyolite
CJ-003-J;0,33;812,800;321,185;55,143;5,554;864,000;0,000;35,417;108,490;0,556;1,638;0,252;29,000;0,745;8,150;84,700;6,450;10,330;june;Toreadora;rhyolite
CJ-003-JU;1,34;690,800;240,988;112,487;10,741;950,400;0,000;33,333;114,443;1,150;1,708;0,422;28,000;1,030;7,860;89,000;6,650;8,041;july;Toreadora;rhyolite
