;lake_catch_ratio;catch_volume_ratio;lenght_depth_ratio;mix_event;secchi_m;TP;DOC;TOC;Fe;wetland;waterT;erosion;water_bodies;erosion_prop
CJ-001-J;252.583;29.523;86.994;4247;6.8;0.27;3.80;4.10;2.20;6.7;10.87;39222,17;5,5;0,1
CJ-003-J;27.237;2.408;62.141;12735;8.7;0.09;5.70;6.10;1.71;11.3;9.19;177966,53;6,4;3,4
CJ-020-J;16.031;1.924;49.428;49192;19;0.14;0.15;0.15;1.26;0.2;7.33;47423,19;7,6;4,1
CJ-023-J;39.479;2.382;31.601;9046;7.3;0.25;2.40;4.30;1.37;7.2;8.91;101050;8,1;2,3
CJ-024-J;11.963;0.599;25.677;31429;20.7;0.14;3.20;4.00;1.10;1.6;7.94;133115,55;9,1;9,1
CJ-039-J;15.012;0.856;72.228;5417;7.4;0.11;2.90;7.60;0.91;6.3;9.7;184235,09;8,8;5,2
CJ-043-J;24.869;0.861;54.132;6583;9.2;0.02;2.00;2.50;1.26;6.8;10.11;661701,32;8,8;3,4
CJ-051-J;25.873;1.303;85.991;10502;9.05;1.40;2.90;4.10;1.10;2.6;9.43;57148,72;8,4;0,5
CJ-097-J;8.193;1.044;92.052;25693;7.05;0.02;2.90;7.20;1.31;7.8;8.23;39228,83;13,6;2,3
CJ-121-J;42.198;4.476;73.327;994;8.2;0.07;6.10;8.00;1.75;9.9;9.57;8966,25;3,3;0,1
CJ-001-A;252.583;29.523;86.994;4247;9;0.27;3.80;4.10;1.47;6.7;9.9;39222,17;5,5;0,1
CJ-003-S;27.237;2.408;62.141;12735;9.5;0.09;5.70;6.10;1.21;11.3;7.46;177966,53;6,4;3,4
CJ-020-S;16.031;1.924;49.428;49192;19;0.07;0.15;0.15;0.82;0.2;7.12;47423,19;7,6;4,1
CJ-023-S;39.479;2.382;31.601;9046;8.9;0.14;2.40;4.30;1.20;7.2;7.0;101050;8,1;2,3
CJ-024-S;11.963;0.599;25.677;31429;22;0.25;3.20;4.00;0.72;1.6;6.96;133115,55;9,1;9,1
CJ-039-S;15.012;0.856;72.228;5417;8.5;0.14;2.90;7.60;0.93;6.3;7.38;184235,09;8,8;5,2
CJ-043-S;24.869;0.861;54.132;6583;10.1;0.11;2.00;2.50;0.94;6.8;8.28;661701,32;8,8;3,4
CJ-051-S;25.873;1.303;85.991;10502;10;1.40;2.90;4.10;3;2.6;8.13;57148,72;8,4;0,5
CJ-097-S;8.193;1.044;92.052;25693;8.5;0.02;2.90;7.20;1.81;7.8;8.48;39228,83;13,6;2,3
CJ-121-S;42.198;4.476;73.327;994;8.5;0.07;6.10;8.00;1.37;9.9;8.63;8966,25;3,3;0,1
CJ-001-D;252.583;29.523;86.994;4247;9;0.27;3.80;4.10;1.3;6.7;12.3;39222,17;5,5;0,1
CJ-003-D;27.237;2.408;62.141;12735;6.7;0.09;5.70;6.10;2.69;11.3;10.32;177966,53;6,4;3,4
CJ-020-D;16.031;1.924;49.428;49192;19;0.14;0.15;0.15;1.15;0.2;9.23;47423,19;7,6;4,1
CJ-023-D;39.479;2.382;31.601;9046;8.5;0.25;2.40;4.30;1.15;7.2;10.43;101050;8,1;2,3
CJ-024-D;11.963;0.599;25.677;31429;26;0.14;3.20;4.00;0.73;1.6;9.0;133115,55;9,1;9,1
CJ-039-D;15.012;0.856;72.228;5417;8.15;0.11;2.90;7.60;0.80;6.3;9.18;184235,09;8,8;5,2
CJ-043-D;24.869;0.861;54.132;6583;10.4;0.02;2.00;2.50;1.50;6.8;11.64;661701,32;8,8;3,4
CJ-051-D;25.873;1.303;85.991;10502;9.95;1.40;2.90;4.10;1.26;2.6;10.76;57148,72;8,4;0,5
CJ-097-D;8.193;1.044;92.052;25693;7.8;0.02;2.90;7.20;1.08;7.8;10.77;39228,83;13,6;2,3
CJ-121-D;42.198;4.476;73.327;994;6.6;0.07;6.10;8.00;1.73;9.9;9.69;8966,25;3,3;0,1
CJ-001-F;252.583;29.523;86.994;4247;8.3;0.27;3.80;4.10;11.4;6.7;11.3;39222,17;5,5;0,1
CJ-003-F;27.237;2.408;62.141;12735;8.6;0.09;5.70;6.10;0.05;11.3;10.45;177966,53;6,4;3,4
CJ-020-F;16.031;1.924;49.428;49192;19;0.14;0.15;0.15;1.15;0.2;9.5;47423,19;7,6;4,1
CJ-023-F;39.479;2.382;31.601;9046;8.5;0.25;2.40;4.30;1.36;7.2;9.73;101050;8,1;2,3
CJ-024-F;11.963;0.599;25.677;31429;24;0.14;3.20;4.00;0.98;1.6;9.58;133115,55;9,1;9,1
CJ-039-F;15.012;0.856;72.228;5417;7.5;0.11;2.90;7.60;0.91;6.3;11.24;184235,09;8,8;5,2
CJ-043-F;24.869;0.861;54.132;6583;10.5;0.02;2.00;2.50;1.01;6.8;12.08;661701,32;8,8;3,4
CJ-051-F;25.873;1.303;85.991;10502;9;1.40;2.90;4.10;1.02;2.6;10.78;57148,72;8,4;0,5
CJ-097-F;8.193;1.044;92.052;25693;8;0.02;2.90;7.20;1.49;7.8;10.37;39228,83;13,6;2,3
CJ-121-F;42.198;4.476;73.327;994;8;0.07;6.10;8.00;1.36;9.9;12.02;8966,25;3,3;0,1
