;Month;Lake;Vertiente;SubCuenca;rock_type
CJ-001-J;June;Llaviucu;Oriental;Tomebamba;andesite
CJ-003-J;June;Toreadora;Oriental;Tomebamba;rhyolite
CJ-020-J;June;Yantahuaico;Occidental;Canar;andesite
CJ-023-J;June;Atugyacu;Occidental;Canar;dacite
CJ-024-J;June;Estrellascocha;Occidental;Balao;andesite
CJ-039-J;June;Larga;Occidental;Canar;rhyolite
CJ-043-J;June;Luspa;Occidental;Canar;rhyolite
CJ-051-J;June;Sunincocha;Occidental;Canar;dacite
CJ-097-J;June;Jigeno;Occidental;Yanuncay;dacite
CJ-121-J;June;Dos Choreras;Oriental;Tomebamba;andesite
CJ-001-A;September;Llaviucu;Oriental;Tomebamba;andesite
CJ-003-S;September;Toreadora;Oriental;Tomebamba;rhyolite
CJ-020-S;September;Yantahuaico;Occidental;Canar;andesite
CJ-023-S;September;Atugyacu;Occidental;Canar;dacite
CJ-024-S;September;Estrellascocha;Occidental;Balao;andesite
CJ-039-S;September;Larga;Occidental;Canar;rhyolite
CJ-043-S;September;Luspa;Occidental;Canar;rhyolite
CJ-051-S;September;Sunincocha;Occidental;Canar;dacite
CJ-097-S;September;Jigeno;Occidental;Yanuncay;dacite
CJ-121-S;September;Dos Choreras;Oriental;Tomebamba;andesite
CJ-001-D;December;Llaviucu;Oriental;Tomebamba;andesite
CJ-003-D;December;Toreadora;Oriental;Tomebamba;rhyolite
CJ-020-D;December;Yantahuaico;Occidental;Canar;andesite
CJ-023-D;December;Atugyacu;Occidental;Canar;dacite
CJ-024-D;December;Estrellascocha;Occidental;Balao;andesite
CJ-039-D;December;Larga;Occidental;Canar;rhyolite
CJ-043-D;December;Luspa;Occidental;Canar;rhyolite
CJ-051-D;December;Sunincocha;Occidental;Canar;dacite
CJ-097-D;December;Jigeno;Occidental;Yanuncay;dacite
CJ-121-D;December;Dos Choreras;Oriental;Tomebamba;andesite
CJ-001-F;February;Llaviucu;Oriental;Tomebamba;andesite
CJ-003-F;February;Toreadora;Oriental;Tomebamba;rhyolite
CJ-020-F;February;Yantahuaico;Occidental;Canar;andesite
CJ-023-F;February;Atugyacu;Occidental;Canar;dacite
CJ-024-F;February;Estrellascocha;Occidental;Balao;andesite
CJ-039-F;February;Larga;Occidental;Canar;rhyolite
CJ-043-F;February;Luspa;Occidental;Canar;rhyolite
CJ-051-F;February;Sunincocha;Occidental;Canar;dacite
CJ-097-F;February;Jigeno;Occidental;Yanuncay;dacite
CJ-121-F;February;Dos Choreras;Oriental;Tomebamba;andesite
