,ChlA_a,Heat,Ca,Mg,Na,K,Alkalinity,SO4,Si,Color,pH,Cond,DO,Altitude,Zmax_m,CA_m2,WRT,Pajonal,PajonalRoca,Roca
CJ-001-J,1.14,0.04,934.8,280.9,48.5,2.6,1080.0,18.8,90.8,35.0,7.9,94.6,6.6,3690,16.48,47704491,0.618928208,65.08097888,8.231588079,0.074449168
CJ-003-J,0.33,0.05,812.80,321.19,55.14,5.55,864.00,35.42,108.49,29.00,8.15,84.70,6.45,3917,29.2353,5262586.2,7.809552745,47.59196841,25.28883243,1.507741618
CJ-020-J,0.8,0.05,609.60,120.49,54.86,2.56,518.40,339.58,132.07,21.00,7.67,75.60,6.85,4112,19.0454,1167741.2,9.667679791,5.105968563,53.96601527,17.89162029
CJ-023-J,0.6,0.05,325.20,160.40,44.52,2.56,648.00,31.25,115.66,35.00,7.73,41.10,6.35,3969,34.0537,4478096.57,7.798014517,46.47147907,31.41834396,0
CJ-024-J,1,0.09,528.40,160.40,52.56,2.56,648.00,143.75,96.47,14.00,7.93,58.30,6.73,4128,41.868,1460781,30.73466647,0,53.65115237,16.8885472
CJ-039-J,0.8,0.05,447.00,321.19,64.90,5.58,561.60,35.42,161.80,26.00,8.14,55.20,6.23,3776,47.6919,3523085.25,21.99952408,52.76335353,19.37266301,0.789098263
CJ-043-J,1.14,0.08,690.80,321.19,87.95,5.58,777.60,83.33,159.25,19.00,8.04,77.30,6.56,3940,65.25804,19268190.13,21.52561905,59.82215309,15.11774403,0.277713262
CJ-051-J,0.94,0.07,487.60,240.99,48.78,2.56,777.60,33.33,102.93,21.00,7.76,60.70,6.54,3776,60.9915,10440309.66,14.49417575,50.72205513,32.32294077,0.030774361
CJ-097-J,1.14,0.05,365.80,80.20,33.48,2.56,432.00,39.58,80.17,38.00,7.69,31.00,6.93,3842,25.0255,1736286.41,17.78608405,0.468672656,54.8009417,6.981649828
CJ-121-J,2.05,0.04,853.40,361.28,46.97,2.56,1252.80,43.75,122.12,23.00,7.56,109.40,5.84,3969,18.2057,6962005.17,4.187860847,58.02974424,16.67517086,2.481223405
CJ-001-A,1.67,0.02,884.4,79.4,46.8,23.6,993.6,29.2,43.9,29.0,7.8,94.8,7.8,3690,16.48,47704491,0.618928208,65.08097888,8.231588079,0.074449168
CJ-003-S,1.8,-0.02,763.80,198.52,60.98,7.77,993.60,41.67,111.86,31.00,8.22,90.90,6.94,3917,29.2353,5262586.2,7.809552745,47.59196841,25.28883243,1.507741618
CJ-020-S,0.47,-0.05,723.60,79.41,71.12,6.95,561.60,70.83,134.14,20.00,8.04,80.20,7.36,4112,19.0454,1167741.2,9.667679791,5.105968563,53.96601527,17.89162029
CJ-023-S,2.14,-0.04,361.80,39.70,49.50,8.68,561.60,64.58,109.20,35.00,7.90,40.50,7.00,3969,34.0537,4478096.57,7.798014517,46.47147907,31.41834396,0
