division;class;order;family;genera;CJ001-0;CJ001-5,2;CJ001-9,1;CJ003-0;CJ003-5,5;CJ003-9;CJ020-0;CJ020-7,5;CJ020-13,6;CJ023-0;CJ023-4;CJ023-10,5;CJ024-0;CJ024-11;CJ024-32;CJ039-0;CJ039-11,7;CJ039-16,4;CJ043-0;CJ043-13,5;CJ043-19,75;CJ051-0;CJ051-6,7;CJ051-16,3;CJ097-0;CJ097-10;CJ097-15;CJ121-0;CJ121-3,7;CJ121-6,5
Bacillariophyta;Bacillariophyceae;Cocconeidales;Achnanthidiaceae;Achnanthidium ;7785386;4055693;4206639;1050321;274834;866769;779262;1847895;532099;665124;480330;550968;352408;225875;127774;194216;984676;606925;485540;375114;647387;437634;183223;151731;0;233405;173407;772295;484763;913958
Bacillariophyta;Bacillariophyceae;Thalassiophysales;Catenulaceae;Amphora;250536;0;785465;0;274172;305181;0;523894;0;0;0;103057;0;0;0;0;0;0;1453110;2245262;0;218289;0;0;1076378;0;0;0;0;0
Cyanophyta;Cyanophyceae;Nostocales;Nostocaceae;Anabaena;0;771389;0;4794481;0;252137;0;0;0;1315662;158354;170290;2129992;0;631864;2881299;4057829;5002255;0;7420031;0;0;453034;0;6225029;0;0;5728700;4794481;0
Chlorophyta;Chlorophyceae;Sphaeropleales;Selenastraceae;Ankistrodesmus;0;0;0;257557;0;0;0;0;0;0;0;0;0;0;0;0;104633;0;0;0;0;0;155755;0;611485;0;0;0;0;0
Chlorophyta;Chlorophyceae;Sphaeropleales;Characiaceae;Ankyra ;0;28322;0;0;49900;0;228556;858157;253603;36229;0;0;255940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42067;0;0
Cyanophyta;Cyanophyceae;Synechococcales;Merismopediaceae;Aphanocapsa;876281;108910;1030223;0;159906;1072163;83704;0;0;0;0;0;382742;0;0;0;0;0;1356000;0;0;0;1087358;0;0;81481;453789;0;0;0
Cyanophyta;Cyanophyceae;Chroococcales;Aphanothecaceae;Aphanothece;0;76380;0;1186827;1009298;599175;0;257146;0;0;47039;50584;0;82950;187694;0;0;0;0;551027;475491;214288;403719;0;0;1885736;382091;0;0;503461
Bacillariophyta;Bacillariophyceae;Tabellariales;Tabellariaceae;Asterionella ;0;39456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacillariophyta;Coscinodiscophyceae;Aulacoseirales;Aulacoseiraceae;Aulacoseira;1223894;0;1117535;458696;312066;0;97374;3981096;216091;226569;0;167815;0;256475;0;0;124385;0;0;0;0;1066365;0;0;6718823;0;2253518;0;0;0
Chlorophyta;Trebouxiophyceae;Trebouxiales;Botryococcaceae;Botryococcus;2816241;0;2127467;291075;825118;367377;215957;6310882;0;1358404;807556;869259;894068;815130;920658;3498500;2364986;5101980;874625;2702842;0;1052877;880868;273320;23323336;1681768;1561831;0;291075;0
Bacillariophyta;Bacillariophyceae;Naviculales;Brachysiraceae;Brachysira ;1295727;731635;575477;1705271;322265;789171;337384;738951;93589;57707;0;193816;165291;0;179790;0;142386;1138669;341601;527822;0;102632;545684;213501;506075;164211;122000;0;0;401883
