"","Anabaena","Ankistrodesmus","Ankyra ","Aphanocapsa","Aphanothece","Botryococcus","Characium ","Chlorella","Chroococcus ","Chroomonas","Chrysostephanosphaera","Closteriopsis","Closterium","Coelastrum","Coenococcus ","Cosmarium","Crucigenia","Cryptomonas ","Dinobryon","Elakatothrix ","Euglena","Geitlerinema","Gloeocapsa","Gloeothece","Golenkiniopsis","Gonatozygon","Gymnodinium ","Haematococcus","Hapalosiphon","Korshikoviella","Lagerheimia","Lyngbya ","Merismopedia","Monoraphidium ","Mougeotia","Nephrocytium","Nostoc","Oedogonium","Oocystis ","Oscillatoria ","Parvodinium","Peridinium","Plagioselmis ","Planktosphaeria ","Planktothrix ","Pseudanabaena ","Pseudostaurastrum","Scenedesmus ","Snowella","Sphaerocystis ","Spirulina","Staurastrum","Stauridium","Staurodesmus","Synechococcus","Tetraëdron","Trachelomonas ","Westella ","Willea"
"CJ001.0",0,0,0,876281,0,2816241,126245,59516,854480,0,0,0,0,3128605,548964,0,754312,5392739,346910,1015328,1421979,0,0,344078,0,6740724,0,3420021,253802,0,0,0,0,0,3957729,0,0,3913182,7455323,0,1446450,12111540,7032463,1064494,10888939,37283,0,4194539,162920,1532890,0,0,0,0,0,0,0,0,0
"CJ001.5.2",771389,0,28322,108910,76380,0,0,0,530732,0,0,0,0,647743,838221,44524,84430,968473,646415,793826,0,0,0,0,0,9528998,2191761,0,0,0,0,0,95355,148115,491642,37795,0,0,5433490,0,0,0,3033320,132235,966186,111153,0,3286359,0,1264258,0,0,0,489500,0,0,2521832,0,0
"CJ001.9.1",0,0,0,1030223,0,2127467,0,18659,0,0,0,102452,0,503005,735044,112368,426169,3726022,0,454939,0,0,0,215746,0,2611139,425503,3276237,0,0,0,0,0,42776,0,0,0,0,9230914,0,4534817,0,1786274,584033,3657675,0,0,3363526,0,1343974,0,0,77210,0,0,0,1193357,0,0
"CJ003.0",4794481,257557,0,0,1186827,291075,60921,91904,1099568,0,0,0,294582,361305,286984,150721,1519638,5582608,0,1656224,457460,2324287,0,390190,0,3290355,6025398,0,0,0,0,435551,0,84921,13750861,255822,0,1416259,2456120,0,4187995,70134536,21304175,4725876,4503914,43179,0,0,2515801,5523112,0,192845,0,0,25205,0,489817,0,0
"CJ003.5.5",0,0,49900,159906,1009298,825118,0,19539,155849,0,0,0,0,0,100126,151839,663208,4686920,0,938987,778064,658871,0,244750,0,2798175,445574,0,0,0,0,0,336011,40467,433110,95438,0,0,960982,21438671,0,0,14358560,757197,15320826,73440,0,0,2228625,3597142,0,109332,0,0,7145,0,5743748,0,0
"CJ003.9",252137,0,0,1072163,599175,367377,38445,21749,86738,0,0,0,0,0,153244,0,543625,19684632,0,1029819,577377,0,0,110021,0,5191094,2479849,0,0,0,0,0,2057080,96464,7713536,175531,0,0,3759301,1909076,1761939,7376610,12968475,842838,0,0,0,127687,2546841,2574988,0,2278555,0,479995,5302,0,3249496,0,0
"CJ020.0",0,0,228556,83704,0,215957,677985,8523,0,0,0,0,0,0,0,0,0,52892,0,289129,0,0,0,123189,0,0,0,1088402,0,0,0,0,0,12601,0,32679,0,1050762,2736356,0,3313746,17344921,14500637,457338,0,0,0,0,0,1341233,0,0,0,0,0,0,0,0,981743
"CJ020.7.5",0,0,858157,0,257146,6310882,923969,0,0,0,0,0,0,0,0,0,0,10505343,0,1933741,0,0,0,0,0,0,0,0,0,0,0,0,0,73598,0,63622,0,4091415,6672588,0,12098651,0,55145763,445191,3252827,0,0,210535,0,4275058,0,0,0,0,0,0,0,0,2525693
"CJ020.13.6",0,0,253603,0,0,0,100305,0,0,0,0,0,0,0,0,0,0,3658924,0,340865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811094,0,0,9622867,20849416,84576,0,0,0,0,0,306249,0,0,0,0,0,0,0,0,259364
"CJ023.0",1315662,0,36229,0,0,1358404,0,0,0,0,0,0,0,84983,145388,116487,0,6243513,1470011,2646719,0,0,0,375894,0,0,1509662,0,0,0,0,0,121977,0,2515598,265909,0,2331828,8056811,0,486573699,295150668,7449915,676610,8651486,0,0,119990,86296,5799051,0,0,0,776633,0,0,0,0,0
