"","Ca","Mg","SO4","Alkalinity","Si","Altitude","Fe","erosion_prop","secchi_m","lake_catch_ratio","mix_event","waterT"
"Achnanthidium.affine",0.147,0.056,0.795,0.229,0.007,0.008,0.168,0.522,0.009,0.218,0.007,0.006
"Achnanthidium.minutissimum",0.155,0.091,0.859,0.509,0,0,0.297,0.377,0,0.195,0,0
"Aulacoseira.alpigena",0.509,0.094,0.149,0.017,0.219,0.009,0.45,0.366,0.295,0.036,0.177,0.173
"Aulacoseira.distans.septentrionalis",0.05,0.084,0.021,0.026,0.029,0.013,0.936,0.881,0.048,0.363,0.371,0.015
"Diatoma.tenuis",0.126,0.125,0.086,0.058,0.065,0.07,0.121,0.602,0.21,0.187,0.075,0.038
"Discostella.stelligera",0,0.276,0.026,0,0.415,0,0.636,0.47,0.001,0.035,0.962,0
"Fragilaria.tenera",0.074,0.391,0.051,0.249,0.016,0.056,0.516,0.682,0.063,0.078,0.043,0.268
"Navicula.notha",0.224,0.339,0.093,0.044,0.421,0.023,0.422,0.076,0.089,0.376,0.176,0.247
"Navicula.radiosa",0.274,0.087,0.054,0.005,0.107,0.013,0.618,0.314,0.093,0.238,0.388,0.021
"Nitzschia.Atucyacu.1",0.01,0.215,0.165,0.008,0.551,0.002,0.388,0.091,0.005,0.848,0.008,0.043
"Nitzschia.cf.oberheimiana",0.032,0.058,0.1,0.035,0.072,0.006,0.847,0.644,0.031,0.355,0.427,0.01
"Pseudostaurosira.laucensis",0.106,0.043,0.062,0.115,0.056,0.009,0.71,0.759,0.051,0.173,0.022,0.617
"Pseudostaurosira.santaremensis",0.279,0.31,0.052,0.004,0.676,0.003,0.354,0.143,0.174,0.054,0.484,0.162
"Staurosirella.pinnata",0.354,0.12,0.01,0.166,0.276,0.008,0.183,0.23,0.01,0.019,0.008,0.709
"Staurosirella.sp.2",0.011,0.128,0.053,0.009,0.163,0.021,0.137,0.188,0.008,0.331,0.552,0.018
"Tabellaria.fenestrata",0.221,0.129,0.031,0.043,0.366,0.122,0.161,0.079,0.418,0.048,0.041,0.046
"Tabellaria.flocculosa",0.277,0.126,0.046,0,0.14,0,0.155,0.625,0.672,0.24,0.034,0
"Ulnaria.delicatissima",0.003,0.049,0.007,0.003,0.001,0.97,0.128,0.986,0.001,0.002,0.001,0.012
