"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Ca","Mg","SO4","Alkalinity","Si","Altitude","Fe","erosion_prop","secchi_m","lake_catch_ratio","mix_event","waterT"
"Achnanthidium.affine.erosion_prop+SO4","erosion_prop+SO4","s(erosion_prop, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",226.047472970557,235.247388057583,0.55694,NA,13,4,0,0,0.184,0.171,0,0,1,0,0,0,0,1,0,0,0,0
"Achnanthidium.affine.erosion_prop+lake_catch_ratio+SO4","erosion_prop+lake_catch_ratio+SO4","s(erosion_prop, k = 5, bs = ""cr"") + s(lake_catch_ratio, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",226.867866700376,236.016969267058,0.6016,NA,17,8,0.82,0.77,0.122,0.117,0,0,1,0,0,0,0,1,0,1,0,0
"Achnanthidium.affine.Alkalinity+erosion_prop+SO4","Alkalinity+erosion_prop+SO4","s(Alkalinity, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",227.272969326117,236.422071892799,0.57222,NA,17,6,1.225,1.175,0.1,0.095,0,0,1,1,0,0,0,1,0,0,0,0
"Achnanthidium.affine.SO4","SO4","s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",227.794347125786,236.116503304583,0.43765,NA,9,1,1.747,0.869,0.077,0.111,0,0,1,0,0,0,0,0,0,0,0,0
"Achnanthidium.affine.Alkalinity+SO4","Alkalinity+SO4","s(Alkalinity, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",228.176452071712,237.376367158738,0.44113,NA,13,3,2.129,2.129,0.063,0.059,0,0,1,1,0,0,0,0,0,0,0,0
"Achnanthidium.affine.lake_catch_ratio+SO4","lake_catch_ratio+SO4","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",228.201231196501,237.401146283527,0.4796,NA,13,4,2.154,2.154,0.063,0.058,0,0,1,0,0,0,0,0,0,1,0,0
"Achnanthidium.affine.Alkalinity+Fe+SO4","Alkalinity+Fe+SO4","s(Alkalinity, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",228.529425735527,237.678528302209,0.49054,NA,17,6,2.482,2.431,0.053,0.051,0,0,1,1,0,0,1,0,0,0,0,0
"Achnanthidium.affine.Ca+SO4","Ca+SO4","s(Ca, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",228.734201577907,237.934116664932,0.41261,NA,13,1,2.687,2.687,0.048,0.045,1,0,1,0,0,0,0,0,0,0,0,0
"Achnanthidium.affine.Ca+erosion_prop+SO4","Ca+erosion_prop+SO4","s(Ca, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",228.823831630772,237.972934197454,0.55504,NA,17,5,2.776,2.726,0.046,0.044,1,0,1,0,0,0,0,1,0,0,0,0
"Achnanthidium.affine.Ca+Fe+SO4","Ca+Fe+SO4","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",229.162272067891,238.311374634572,0.37333,NA,17,6,3.115,3.064,0.039,0.037,1,0,1,0,0,0,1,0,0,0,0,0
"Achnanthidium.affine.Fe+SO4","Fe+SO4","s(Fe, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",229.628699547276,238.828614634302,0.46164,NA,13,4,3.581,3.581,0.031,0.029,0,0,1,0,0,0,1,0,0,0,0,0
"Achnanthidium.affine.erosion_prop+Mg+SO4","erosion_prop+Mg+SO4","s(erosion_prop, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",230.13549070628,239.284593272962,0.56376,NA,17,8,4.088,4.037,0.024,0.023,0,1,1,0,0,0,0,1,0,0,0,0
"Achnanthidium.affine.erosion_prop+Fe+SO4","erosion_prop+Fe+SO4","s(erosion_prop, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",230.185359424452,239.334461991134,0.55805,NA,17,8,4.138,4.087,0.023,0.022,0,0,1,0,0,0,1,1,0,0,0,0
"Achnanthidium.affine.Mg+SO4","Mg+SO4","s(Mg, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",231.074682097435,240.27459718446,0.43979,NA,13,3,5.027,5.027,0.015,0.014,0,1,1,0,0,0,0,0,0,0,0,0
"Achnanthidium.affine.Fe+lake_catch_ratio+SO4","Fe+lake_catch_ratio+SO4","s(Fe, k = 5, bs = ""cr"") + s(lake_catch_ratio, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",231.682447590777,240.831550157459,0.48775,NA,17,7,5.635,5.584,0.011,0.01,0,0,1,0,0,0,1,0,0,1,0,0
"Achnanthidium.affine.lake_catch_ratio+Mg+SO4","lake_catch_ratio+Mg+SO4","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",232.402861688003,241.551964254685,0.48434,NA,17,6,6.355,6.305,0.008,0.007,0,1,1,0,0,0,0,0,0,1,0,0
"Achnanthidium.affine.erosion_prop","erosion_prop","s(erosion_prop, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",232.776017604204,241.098173783002,0.37099,NA,9,2,6.729,5.851,0.006,0.009,0,0,0,0,0,0,0,1,0,0,0,0
"Achnanthidium.affine.erosion_prop+lake_catch_ratio","erosion_prop+lake_catch_ratio","s(erosion_prop, k = 5, bs = ""cr"") + s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",232.900959292822,242.100874379848,0.44588,NA,13,5,6.853,6.853,0.006,0.006,0,0,0,0,0,0,0,1,0,1,0,0
"Achnanthidium.affine.Ca+erosion_prop","Ca+erosion_prop","s(Ca, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",232.904492412873,242.104407499898,0.46828,NA,13,6,6.857,6.857,0.006,0.006,1,0,0,0,0,0,0,1,0,0,0,0
"Achnanthidium.affine.Fe+Mg+SO4","Fe+Mg+SO4","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",233.290794716396,242.439897283078,0.46971,NA,17,6,7.243,7.193,0.005,0.005,0,1,1,0,0,0,1,0,0,0,0,0
"Achnanthidium.affine.Alkalinity+erosion_prop","Alkalinity+erosion_prop","s(Alkalinity, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",233.389277825914,242.58919291294,0.35787,NA,13,4,7.342,7.342,0.005,0.004,0,0,0,1,0,0,0,1,0,0,0,0
"Achnanthidium.affine.Alkalinity","Alkalinity","s(Alkalinity, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",234.016910954698,242.339067133496,0.19982,NA,9,2,7.969,7.092,0.003,0.005,0,0,0,1,0,0,0,0,0,0,0,0
"Achnanthidium.affine.Altitude+erosion_prop","Altitude+erosion_prop","s(Altitude, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",234.030471868528,243.230386955553,0.36815,NA,13,5,7.983,7.983,0.003,0.003,0,0,0,0,0,1,0,1,0,0,0,0
"Achnanthidium.affine.erosion_prop+secchi_m","erosion_prop+secchi_m","s(erosion_prop, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",234.266949779394,243.46686486642,0.4428,NA,13,6,8.219,8.219,0.003,0.003,0,0,0,0,0,0,0,1,1,0,0,0
"Achnanthidium.affine.Ca","Ca","s(Ca, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",234.290337091627,242.612493270425,0.33356,NA,9,0,8.243,7.365,0.003,0.004,1,0,0,0,0,0,0,0,0,0,0,0
"Achnanthidium.affine.lake_catch_ratio","lake_catch_ratio","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",234.413026843064,242.735183021862,0.27497,NA,9,2,8.366,7.488,0.003,0.004,0,0,0,0,0,0,0,0,0,1,0,0
"Achnanthidium.affine.null","null","s(Latitude, Longitude, k = 5)",234.551062750578,241.230754138795,0.20694,NA,5,0,8.504,5.983,0.003,0.009,0,0,0,0,0,0,0,0,0,0,0,0
"Achnanthidium.affine.erosion_prop+mix_event","erosion_prop+mix_event","s(erosion_prop, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",234.614372686367,243.814287773393,0.37117,NA,13,4,8.567,8.567,0.003,0.002,0,0,0,0,0,0,0,1,0,0,1,0
"Achnanthidium.affine.erosion_prop+Fe+lake_catch_ratio","erosion_prop+Fe+lake_catch_ratio","s(erosion_prop, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",234.780369925769,243.929472492451,0.48328,NA,17.01,9,8.733,8.682,0.002,0.002,0,0,0,0,0,0,1,1,0,1,0,0
"Achnanthidium.affine.mix_event","mix_event","s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",234.843891265818,243.166047444616,0.22282,NA,9,0,8.796,7.919,0.002,0.003,0,0,0,0,0,0,0,0,0,0,1,0
"Achnanthidium.affine.erosion_prop+Fe","erosion_prop+Fe","s(erosion_prop, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",234.899148690149,244.099063777174,0.37038,NA,13,5,8.852,8.852,0.002,0.002,0,0,0,0,0,0,1,1,0,0,0,0
"Achnanthidium.affine.Altitude","Altitude","s(Altitude, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",234.9142858828,243.236442061597,0.22536,NA,9,3,8.867,7.989,0.002,0.003,0,0,0,0,0,1,0,0,0,0,0,0
"Achnanthidium.affine.secchi_m","secchi_m","s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",235.526579360592,243.848735539389,0.10664,NA,9,2,9.479,8.601,0.002,0.002,0,0,0,0,0,0,0,0,1,0,0,0
"Achnanthidium.affine.Ca+erosion_prop+secchi_m","Ca+erosion_prop+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",235.717387933251,244.866490499933,0.4691,NA,17,6,9.67,9.619,0.001,0.001,1,0,0,0,0,0,0,1,1,0,0,0
"Achnanthidium.affine.Ca+secchi_m","Ca+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",235.758678975229,244.958594062255,0.23026,NA,13,4,9.711,9.711,0.001,0.001,1,0,0,0,0,0,0,0,1,0,0,0
"Achnanthidium.affine.Si","Si","s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",235.920502174425,244.242658353223,0.20304,NA,9,2,9.873,8.995,0.001,0.002,0,0,0,0,1,0,0,0,0,0,0,0
