"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Ca","Mg","K","Alkalinity","Fe","waterT","lake_catch_ratio","mix_event","secchi_m","Zmax_m","Altitude","wetland","bare_rock"
"Achnanthidium.affine.Fe+Zmax_m","Fe+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",227.733389918142,236.933305005167,0.52105,NA,13,5,0,0,0.177,0.161,0,0,0,0,1,0,0,0,0,1,0,0,0
"Achnanthidium.affine.Fe+mix_event+Zmax_m","Fe+mix_event+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",229.315542540367,238.464645107049,0.54364,NA,17,7,1.582,1.531,0.08,0.075,0,0,0,0,1,0,0,1,0,1,0,0,0
"Achnanthidium.affine.Fe+wetland+Zmax_m","Fe+wetland+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",229.515919619635,238.665022186317,0.57091,NA,17,8,1.783,1.732,0.072,0.068,0,0,0,0,1,0,0,0,0,1,0,1,0
"Achnanthidium.affine.Fe","Fe","s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",230.41998885001,238.742145028807,0.31335,NA,9,2,2.687,1.809,0.046,0.065,0,0,0,0,1,0,0,0,0,0,0,0,0
"Achnanthidium.affine.Fe+secchi_m+Zmax_m","Fe+secchi_m+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",230.85350231061,240.002604877291,0.54517,NA,17,8,3.12,3.069,0.037,0.035,0,0,0,0,1,0,0,0,1,1,0,0,0
"Achnanthidium.affine.Fe+wetland","Fe+wetland","s(Fe, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",230.936855212288,240.136770299313,0.44395,NA,13,3,3.203,3.203,0.036,0.033,0,0,0,0,1,0,0,0,0,0,0,1,0
"Achnanthidium.affine.Fe+K+Zmax_m","Fe+K+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",231.128190659839,240.27729322652,0.51374,NA,17.02,5,3.395,3.344,0.032,0.03,0,0,1,0,1,0,0,0,0,1,0,0,0
"Achnanthidium.affine.K+Zmax_m","K+Zmax_m","s(K, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",231.229028717178,240.428943804204,0.36482,NA,13,3,3.496,3.496,0.031,0.028,0,0,1,0,0,0,0,0,0,1,0,0,0
"Achnanthidium.affine.Fe+Mg+Zmax_m","Fe+Mg+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",231.32677679669,240.475879363372,0.53475,NA,17,7,3.593,3.543,0.029,0.027,0,1,0,0,1,0,0,0,0,1,0,0,0
"Achnanthidium.affine.Zmax_m","Zmax_m","s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",231.357043010109,239.679199188907,0.42243,NA,9,3,3.624,2.746,0.029,0.041,0,0,0,0,0,0,0,0,0,1,0,0,0
