"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Ca","Mg","SO4","Alkalinity","Si","Altitude","Fe","erosion_prop","secchi_m","lake_catch_ratio","mix_event","waterT"
"Achnanthidium.affine.erosion_prop+SO4","erosion_prop+SO4","s(erosion_prop, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",226.047472970557,235.247388057583,0.55694,NA,13,4,0,0,0.184,0.171,0,0,1,0,0,0,0,1,0,0,0,0
"Achnanthidium.affine.erosion_prop+lake_catch_ratio+SO4","erosion_prop+lake_catch_ratio+SO4","s(erosion_prop, k = 5, bs = ""cr"") + s(lake_catch_ratio, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",226.867866700376,236.016969267058,0.6016,NA,17,8,0.82,0.77,0.122,0.117,0,0,1,0,0,0,0,1,0,1,0,0
"Achnanthidium.affine.Alkalinity+erosion_prop+SO4","Alkalinity+erosion_prop+SO4","s(Alkalinity, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",227.272969326117,236.422071892799,0.57222,NA,17,6,1.225,1.175,0.1,0.095,0,0,1,1,0,0,0,1,0,0,0,0
"Achnanthidium.affine.SO4","SO4","s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",227.794347125786,236.116503304583,0.43765,NA,9,1,1.747,0.869,0.077,0.111,0,0,1,0,0,0,0,0,0,0,0,0
"Achnanthidium.minutissimum.Alkalinity+erosion_prop+SO4","Alkalinity+erosion_prop+SO4","s(Alkalinity, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",365.409364299788,374.55846686647,0.31621,NA,17,2,0,0,0.186,0.186,0,0,1,1,0,0,0,1,0,0,0,0
"Achnanthidium.minutissimum.Alkalinity+SO4","Alkalinity+SO4","s(Alkalinity, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",365.437771991722,374.637687078748,0.30281,NA,13,0,0.028,0.079,0.183,0.179,0,0,1,1,0,0,0,0,0,0,0,0
"Achnanthidium.minutissimum.Alkalinity+Fe+SO4","Alkalinity+Fe+SO4","s(Alkalinity, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",365.982048948387,375.131151515069,0.30308,NA,17,3,0.573,0.573,0.14,0.14,0,0,1,1,0,0,1,0,0,0,0,0
"Aulacoseira.alpigena.Ca+Fe+secchi_m","Ca+Fe+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",394.728496289231,403.877598855913,0.30627,NA,17,10,0,0,0.09,0.09,1,0,0,0,0,0,1,0,1,0,0,0
"Aulacoseira.alpigena.erosion_prop+Fe+mix_event","erosion_prop+Fe+mix_event","s(erosion_prop, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",395.256803542744,404.405906109426,0.18738,NA,17.04,8,0.528,0.528,0.069,0.069,0,0,0,0,0,0,1,1,0,0,1,0
"Aulacoseira.alpigena.Ca+Fe+SO4","Ca+Fe+SO4","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",395.799462873242,404.948565439924,0.32673,NA,17,6,1.071,1.071,0.052,0.053,1,0,1,0,0,0,1,0,0,0,0,0
"Aulacoseira.alpigena.Ca+Fe+waterT","Ca+Fe+waterT","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",395.812569450201,404.961672016883,0.35378,NA,17,8,1.084,1.084,0.052,0.052,1,0,0,0,0,0,1,0,0,0,0,1
"Aulacoseira.alpigena.Ca+Si+waterT","Ca+Si+waterT","s(Ca, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",395.852244816867,405.001347383548,0.35183,NA,17,8,1.124,1.124,0.051,0.051,1,0,0,0,1,0,0,0,0,0,0,1
"Aulacoseira.alpigena.Ca+Fe+Si","Ca+Fe+Si","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",395.865951040772,405.015053607454,0.32044,NA,17,8,1.137,1.137,0.051,0.051,1,0,0,0,1,0,1,0,0,0,0,0
"Aulacoseira.alpigena.Ca+erosion_prop+SO4","Ca+erosion_prop+SO4","s(Ca, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",396.104014055516,405.253116622198,0.35044,NA,17,7,1.376,1.376,0.045,0.045,1,0,1,0,0,0,0,1,0,0,0,0
"Aulacoseira.alpigena.Ca+erosion_prop+secchi_m","Ca+erosion_prop+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",396.193920914478,405.34302348116,0.34125,NA,17,10,1.465,1.465,0.043,0.043,1,0,0,0,0,0,0,1,1,0,0,0
"Aulacoseira.alpigena.Ca+erosion_prop+waterT","Ca+erosion_prop+waterT","s(Ca, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",396.201977809204,405.351080375886,0.36278,NA,17,9,1.473,1.473,0.043,0.043,1,0,0,0,0,0,0,1,0,0,0,1
"Aulacoseira.alpigena.Ca+secchi_m+Si","Ca+secchi_m+Si","s(Ca, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",396.234904606563,405.384007173245,0.31611,NA,17,8,1.506,1.506,0.042,0.042,1,0,0,0,1,0,0,0,1,0,0,0
"Aulacoseira.alpigena.erosion_prop+Mg+mix_event","erosion_prop+Mg+mix_event","s(erosion_prop, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",396.282540989686,405.431643556368,0.19076,NA,17,8,1.554,1.554,0.041,0.041,0,1,0,0,0,0,0,1,0,0,1,0
"Aulacoseira.alpigena.Ca+erosion_prop+Fe","Ca+erosion_prop+Fe","s(Ca, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",396.364004144169,405.513106710851,0.33616,NA,17,9,1.636,1.636,0.04,0.04,1,0,0,0,0,0,1,1,0,0,0,0
"Aulacoseira.alpigena.erosion_prop+mix_event","erosion_prop+mix_event","s(erosion_prop, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",396.692452656286,405.892367743311,0.19096,NA,13,6,1.964,2.015,0.034,0.033,0,0,0,0,0,0,0,1,0,0,1,0
"Aulacoseira.distans.septentrionalis.erosion_prop+Fe+lake_catch_ratio","erosion_prop+Fe+lake_catch_ratio","s(erosion_prop, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",303.82796098269,312.977063549371,0.05414,NA,17.31,7,0,0,0.357,0.358,0,0,0,0,0,0,1,1,0,1,0,0
"Aulacoseira.distans.septentrionalis.erosion_prop+Fe+mix_event","erosion_prop+Fe+mix_event","s(erosion_prop, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",304.4557708921,313.604873458782,0.00316,NA,17.59,5,0.628,0.628,0.261,0.261,0,0,0,0,0,0,1,1,0,0,1,0
"Diatoma.tenuis.erosion_prop","erosion_prop","s(erosion_prop, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",216.942006675168,225.264162853966,0.53658,NA,9,3,0,0,0.115,0.164,0,0,0,0,0,0,0,1,0,0,0,0
"Diatoma.tenuis.erosion_prop+secchi_m","erosion_prop+secchi_m","s(erosion_prop, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",217.228947998453,226.428863085478,0.64997,NA,13,5,0.287,1.165,0.099,0.092,0,0,0,0,0,0,0,1,1,0,0,0
"Diatoma.tenuis.erosion_prop+lake_catch_ratio","erosion_prop+lake_catch_ratio","s(erosion_prop, k = 5, bs = ""cr"") + s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",217.287793039712,226.487708126738,0.62096,NA,13.01,5,0.346,1.224,0.096,0.089,0,0,0,0,0,0,0,1,0,1,0,0
"Diatoma.tenuis.Ca+erosion_prop","Ca+erosion_prop","s(Ca, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",218.201455829253,227.401370916278,0.60117,NA,13,5,1.259,2.137,0.061,0.056,1,0,0,0,0,0,0,1,0,0,0,0
"Diatoma.tenuis.erosion_prop+mix_event","erosion_prop+mix_event","s(erosion_prop, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",218.654705525652,227.854620612677,0.54991,NA,13,5,1.713,2.59,0.049,0.045,0,0,0,0,0,0,0,1,0,0,1,0
"Diatoma.tenuis.Altitude+erosion_prop","Altitude+erosion_prop","s(Altitude, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",218.720435790555,227.92035087758,0.5247,NA,13,5,1.778,2.656,0.047,0.043,0,0,0,0,0,1,0,1,0,0,0,0
"Discostella.stelligera.erosion_prop+Fe+mix_event","erosion_prop+Fe+mix_event","s(erosion_prop, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",422.303110544209,431.452213110891,0.60912,NA,17.38,7,0,0,0.319,0.319,0,0,0,0,0,0,1,1,0,0,1,0
"Discostella.stelligera.Fe+mix_event+Si","Fe+mix_event+Si","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",423.073506877709,432.222609444391,0.63573,NA,17,4,0.77,0.77,0.217,0.217,0,0,0,0,1,0,1,0,0,0,1,0
"Discostella.stelligera.Mg+mix_event+Si","Mg+mix_event+Si","s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",424.125296475528,433.27439904221,0.5587,NA,17,1,1.822,1.822,0.128,0.128,0,1,0,0,1,0,0,0,0,0,1,0
"Fragilaria.tenera.erosion_prop+Fe+Mg","erosion_prop+Fe+Mg","s(erosion_prop, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",310.278055999893,319.427158566575,0.36348,NA,17,5,0,0,0.18,0.18,0,1,0,0,0,0,1,1,0,0,0,0
