"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Ca","Mg","K","Alkalinity","Fe","waterT","lake_catch_ratio","mix_event","secchi_m","Zmax_m","Altitude","wetland","bare_rock"
"Achnanthidium.affine.Fe+Zmax_m","Fe+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",227.733389918142,236.933305005167,0.52105,NA,13,5,0,0,0.177,0.161,0,0,0,0,1,0,0,0,0,1,0,0,0
"Achnanthidium.affine.Fe+mix_event+Zmax_m","Fe+mix_event+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",229.315542540367,238.464645107049,0.54364,NA,17,7,1.582,1.531,0.08,0.075,0,0,0,0,1,0,0,1,0,1,0,0,0
"Achnanthidium.affine.Fe+wetland+Zmax_m","Fe+wetland+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",229.515919619635,238.665022186317,0.57091,NA,17,8,1.783,1.732,0.072,0.068,0,0,0,0,1,0,0,0,0,1,0,1,0
"Achnanthidium.minutissimum.Fe+wetland+Zmax_m","Fe+wetland+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",379.960214996116,389.109317562798,0.5795,NA,17.17,7,0,0,0.103,0.103,0,0,0,0,1,0,0,0,0,1,0,1,0
"Achnanthidium.minutissimum.Ca+Fe+wetland","Ca+Fe+wetland","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",380.136726186409,389.285828753091,0.41321,NA,17,6,0.177,0.177,0.095,0.094,1,0,0,0,1,0,0,0,0,0,0,1,0
"Achnanthidium.minutissimum.Fe+mix_event+Zmax_m","Fe+mix_event+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",381.289787360111,390.438889926793,0.36263,NA,17,6,1.33,1.33,0.053,0.053,0,0,0,0,1,0,0,1,0,1,0,0,0
"Achnanthidium.minutissimum.Mg+wetland+Zmax_m","Mg+wetland+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",381.299843672933,390.448946239614,0.57099,NA,17.21,7,1.34,1.34,0.053,0.053,0,1,0,0,0,0,0,0,0,1,0,1,0
"Achnanthidium.minutissimum.wetland+Zmax_m","wetland+Zmax_m","s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",381.54213203854,390.742047125566,0.57665,NA,13.17,5,1.582,1.633,0.047,0.046,0,0,0,0,0,0,0,0,0,1,0,1,0
"Achnanthidium.minutissimum.Ca+wetland","Ca+wetland","s(Ca, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",381.775651291225,390.975566378251,0.41472,NA,13,4,1.815,1.866,0.042,0.041,1,0,0,0,0,0,0,0,0,0,0,1,0
"Achnanthidium.minutissimum.K+mix_event+Zmax_m","K+mix_event+Zmax_m","s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",381.934518779012,391.083621345694,0.35258,NA,17,6,1.974,1.974,0.038,0.038,0,0,1,0,0,0,0,1,0,1,0,0,0
